"VAT Rate Information","VAT Rate Information"
"VAT Identifier","VAT Identifier"
"Zip/Post is Range","Zip/Post is Range"
"Zip/Post Code","Zip/Post Code"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1."
"Range From","Range From"
"Range To","Range To"
State,State
Country,Country
"Rate Percent","Rate Percent"
"VAT Titles","VAT Titles"
"Add New VAT Rate","Add New VAT Rate"
Back,Back
Reset,Reset
"Delete Rate","Delete Rate"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save Rate","Save Rate"
"Manage VAT Rules","Manage VAT Rules"
"Add New VAT Rule","Add New VAT Rule"
"Save Rule","Save Rule"
"Delete Rule","Delete Rule"
"Save and Continue Edit","Save and Continue Edit"
"VAT Rule Information","VAT Rule Information"
Name,Name
"Customer VAT Class","Customer VAT Class"
"Product VAT Class","Product VAT Class"
"VAT Rate","VAT Rate"
Priority,Priority
"VAT rates at the same priority are added, others are compounded.","VAT rates at the same priority are added, others are compounded."
"Calculate Off Subtotal Only","Calculate Off Subtotal Only"
"Sort Order","Sort Order"
"Do you really want to delete this VAT class?","Do you really want to delete this VAT class?"
"Add New VAT Class","Add New VAT Class"
"Shipping Incl. VAT (%1)","Shipping Incl. VAT (%1)"
"Shipping Excl. VAT (%1)","Shipping Excl. VAT (%1)"
"Subtotal (Excl.VAT)","Subtotal (Excl.VAT)"
"Subtotal (Incl.VAT)","Subtotal (Incl.VAT)"
"Shipping & Handling (Excl.VAT)","Shipping & Handling (Excl.VAT)"
"Shipping & Handling (Incl.VAT)","Shipping & Handling (Incl.VAT)"
"Grand Total (Excl.VAT)","Grand Total (Excl.VAT)"
"Grand Total (Incl.VAT)","Grand Total (Incl.VAT)"
Sales,Sales
VAT,VAT
"Manage VAT Rates","Manage VAT Rates"
"New VAT Rate","New VAT Rate"
"VAT Zones and Rates","VAT Zones and Rates"
"We can\'t delete this VAT rate right now.","We can\'t delete this VAT rate right now."
"An error occurred while loading this VAT rate.","An error occurred while loading this VAT rate."
"We can\'t save this rate right now.","We can\'t save this rate right now."
"You deleted the VAT rate.","You deleted the VAT rate."
"We can\'t delete this rate because of an incorrect rate ID.","We can\'t delete this rate because of an incorrect rate ID."
"Something went wrong deleting this rate.","Something went wrong deleting this rate."
"Edit VAT Rate","Edit VAT Rate"
"You saved the VAT rate.","You saved the VAT rate."
"VAT Rules","VAT Rules"
"The VAT rule has been deleted.","The VAT rule has been deleted."
"This rule no longer exists.","This rule no longer exists."
"Something went wrong deleting this VAT rule.","Something went wrong deleting this VAT rule."
"New VAT Rule","New VAT Rule"
"Edit Rule","Edit Rule"
"New Rule","New Rule"
"You saved the VAT rule.","You saved the VAT rule."
"We can\'t save this VAT rule right now.","We can\'t save this VAT rule right now."
"Invalid name of VAT class specified.","Invalid name of VAT class specified."
"We can\'t delete this VAT class right now.","We can\'t delete this VAT class right now."
"We can\'t save this VAT class right now.","We can\'t save this VAT class right now."
"Make sure all required information is valid.","Make sure all required information is valid."
"The Rate Percent should be a positive number.","The Rate Percent should be a positive number."
"Maximum zip code length is 9.","Maximum zip code length is 9."
"Use digits only for the zip code.","Use digits only for the zip code."
"Range To should be equal or greater than Range From.","Range To should be equal or greater than Range From."
"The VAT rate cannot be removed. It exists in a VAT rule.","The VAT rate cannot be removed. It exists in a VAT rule."
"This class no longer exists.","This class no longer exists."
"You cannot delete this VAT class because it is used in VAT Rules. You have to delete the rules it is used in first.","You cannot delete this VAT class because it is used in VAT Rules. You have to delete the rules it is used in first."
"You cannot delete this VAT class because it is used in existing %1(s).","You cannot delete this VAT class because it is used in existing %1(s)."
"Custom price if available","Custom price if available"
"Original price only","Original price only"
"Shipping Address","Shipping Address"
"Billing Address","Billing Address"
"Shipping Origin","Shipping Origin"
"No (price without VAT)","No (price without VAT)"
"Yes (only price with VAT)","Yes (only price with VAT)"
"Both (without and with VAT)","Both (without and with VAT)"
"Invalid attribute %1","Invalid attribute %1"
Code,Code
"Invalid type supplied","Invalid type supplied"
"Class name and class type","Class name and class type"
"Grand Total (Excl. VAT)","Grand Total (Excl. VAT)"
"Grand Total (Incl. VAT)","Grand Total (Incl. VAT)"
"Shipping (Excl. VAT)","Shipping (Excl. VAT)"
"Shipping (Incl. VAT)","Shipping (Incl. VAT)"
"Subtotal (Excl. VAT)","Subtotal (Excl. VAT)"
"Subtotal (Incl. VAT)","Subtotal (Incl. VAT)"
Subtotal,Subtotal
"Unit Price","Unit Price"
"Row Total","Row Total"
Total,Total
"Before Discount","Before Discount"
"After Discount","After Discount"
"Excluding VAT","Excluding VAT"
"Including VAT","Including VAT"
None,None
"Including and Excluding VAT","Including and Excluding VAT"
"Warning VAT configuration can result in rounding errors. ","Warning VAT configuration can result in rounding errors. "
"Store(s) affected: ","Store(s) affected: "
"Click on the link to <a href=""%1"">ignore this notification</a>","Click on the link to <a href=""%1"">ignore this notification</a>"
"Warning VAT discount configuration might result in different discounts
                                than a customer might expect. ","Warning VAT discount configuration might result in different discounts
                                than a customer might expect. "
"Please see <a href=""%1"">documentation</a> for more details. ","Please see <a href=""%1"">documentation</a> for more details. "
"Click here to go to <a href=""%1"">VAT Configuration</a> and change your settings.","Click here to go to <a href=""%1"">VAT Configuration</a> and change your settings."
"Invalid type of VAT class ""%1""","Invalid type of VAT class ""%1"""
"Updating classType is not allowed.","Updating classType is not allowed."
"A class with the same name already exists for ClassType %1.","A class with the same name already exists for ClassType %1."
"customer group","customer group"
product,product
"Excl. VAT:","Excl. VAT:"
"Incl. VAT","Incl. VAT"
"Entity already exists","Entity already exists"
"Cannot save titles","Cannot save titles"
"Some Message","Some Message"
"Something went wrong","Something went wrong"
"Could not save","Could not save"
"No such entity","No such entity"
"Excl. VAT","Excl. VAT"
Note:,Note:
"Leave this field empty if you wish to use the VAT identifier.","Leave this field empty if you wish to use the VAT identifier."
"An error occurred","An error occurred"
"Do you really want to delete this VAT rate?","Do you really want to delete this VAT rate?"
Save,Save
"Add New Class","Add New Class"
"Grand Total Excl. VAT","Grand Total Excl. VAT"
"Grand Total Incl. VAT","Grand Total Incl. VAT"
VATes,VATes
"VAT Section","VAT Section"
"VAT Classes","VAT Classes"
"VAT Class for Shipping","VAT Class for Shipping"
"Default VAT Class for Product","Default VAT Class for Product"
"Default VAT Class for Customer","Default VAT Class for Customer"
"Calculation Settings","Calculation Settings"
"VAT Calculation Method Based On","VAT Calculation Method Based On"
"VAT Calculation Based On","VAT Calculation Based On"
"Catalog Prices","Catalog Prices"
"This sets whether catalog prices entered from Magento Admin include VAT.","This sets whether catalog prices entered from Magento Admin include VAT."
"Shipping Prices","Shipping Prices"
"This sets whether shipping amounts entered from Magento Admin or obtained from gateways include VAT.","This sets whether shipping amounts entered from Magento Admin or obtained from gateways include VAT."
"Apply Customer VAT","Apply Customer VAT"
"Apply Discount On Prices","Apply Discount On Prices"
"Apply discount on price including VAT is calculated based on store VAT if ""Apply VAT after Discount"" is selected.","Apply discount on price including VAT is calculated based on store VAT if ""Apply VAT after Discount"" is selected."
"Apply VAT On","Apply VAT On"
"Enable Cross Border Trade","Enable Cross Border Trade"
"When catalog price includes VAT, enable this setting to fix the price no matter what the customer's VAT rate.","When catalog price includes VAT, enable this setting to fix the price no matter what the customer's VAT rate."
"Default VAT Destination Calculation","Default VAT Destination Calculation"
"Default Country","Default Country"
"Default State","Default State"
"Default Post Code","Default Post Code"
"Price Display Settings","Price Display Settings"
"Display Product Prices In Catalog","Display Product Prices In Catalog"
"Display Shipping Prices","Display Shipping Prices"
"Shopping Cart Display Settings","Shopping Cart Display Settings"
"Display Prices","Display Prices"
"Display Subtotal","Display Subtotal"
"Display Shipping Amount","Display Shipping Amount"
"Include VAT In Order Total","Include VAT In Order Total"
"Display Full VAT Summary","Display Full VAT Summary"
"Display Zero VAT Subtotal","Display Zero VAT Subtotal"
"Orders, Invoices, Credit Memos Display Settings","Orders, Invoices, Credit Memos Display Settings"
State/Region,State/Region
Rate,Rate
"Subtotal Only","Subtotal Only"
"(Excl. VAT)","(Excl. VAT)"
"(Incl. VAT)","(Incl. VAT)"
"Order Total Excl. VAT","Order Total Excl. VAT"
"Order Total Incl. VAT","Order Total Incl. VAT"
"Order Total","Order Total"
"Your credit card will be charged for","Your credit card will be charged for"
